"setup_download","Download","다운로드","ダウンロード","Загрузить","Télécharger","Download","Herunterladen","Descargar","Scarica"
"setup_upload","Upload","업로드","アップロードする","загружать","Charger","Upload","Hochladen","Subir","Carica"
"setup_recording_video","Recording Video","저장된 영상","録ビデオ","Запись видео","Enregistrement vidéo","Beeld opnemen","Video aufnehmen","Grabando vídeo","Registrazione video"
"setup_date","Date","기간","日付","Дата","Date","Datum","Datum","Fecha","Data"
"setup_back","Back","뒤로","戻る","Назад","Retour","Terug","Zurück","Atrás","Indietro"
"setup_step","Step","단계","Step","Шаг","Étape","Stap","Schritt","Paso","Step"
"setup_clock_wise","Clockwise","시계 방향","Clockwize","По часовой","Dans le sens horaire","Met de klok mee","Uhrzeigersinn","Sentido horario","Senso orario"
"setup_counter_clock_wise","Counter Clockwise","반 시계 방향","Counter Clockwize","Против часовой","Dans le sens antihoraire","Tegen de klok in","Gegen den Uhrzeigersinn","En sentido anti-horario","Antiorario"
"setup_continous","Continuous","연속","連続","Перезапись","Continu","Continu","Dauerhaft","Continuo","Continuo"
"setup_motion","Motion","움직임 감지","モーション","Детекция движения","Mouvement","Beweging","Bewegung","Movimiento","Movimento"
"setup_sensor_alarm","Sensor Alarm","센서 알람","センサーアラーム","Тревожный вход","Alarme capteur","Sensor Alarm","Sensoralarm","Sensor de Alarma","Allarme Sensore"
"setup_sdcard","SDCard","SD카드","SD カード","SD карта","Carte SD","SD Kaart","SD Karte","Tarjeta SD","Scheda SD"
"setup_ascending","Ascending","오름차순","昇順","По возрастанию","Ascendant","Oplopend","Aufsteigend","Ascendente","Crescente"
"setup_decending","Decending","내림차순","降順","По убыванию","Décroissant","Aflopend","Absteigend","Descendente","Decrescente"
"setup_storage_config","Storage Configuration","저장소 설정","ストレージ設定","Настройка хранилища","Configuration du stockage","Opslag Configuratie","Speicher Einstellung","Configuración de almacenamiento","Configurazione Registrazioni"
"setup_storage_list","Storage List","저장소 목록","ストレージリスト","Хранилище","Liste de stockage","Opslag Lijst","Speicherliste","Lista de almacenamiento","Elenco Registrazioni"
"setup_mounted","Mounted","마운트","マウント","Установлено","Monté","Gekoppeld","Montiert","Montado","Montato"
"setup_size","Size","크기","サイズ","Память","Taille","Omvang","Größe","Tamaño","Taglia"
"setup_storage_usedsize","Used(%)","사용량(%)","使用率 (%)","Использовано(%)","Utilisé(%)","Gebruikt (%)","Verwendet(%)","Usado(%)","Usato(%)"
"setup_storage_available","Available","가용량(%)","使用可能","Доступно","Disponible","Beschikbaar","Verfügbar","Disponible","Disponibile"
"setup_storage_size","Storage Size","저장소 크기","ストレージサイズ","Объем памяти","Taille de stockage","Opslag omvang","Speichergröße","Tamaño de almacenamiento","Dimensioni di registrazione"
"setup_auto_delete","Auto Delete","자동삭제","自動削除","Авто-удаление","Suppression automatique","Automatisch wissen","Automatisches löschen","Autoborrado","Eliminazione automatica"
"setup_1day","1 Day","1 Day","1 Day","1 день","Un jour","1 Dag","1 Tag","1 día","1 giorno"
"setup_7days","7 Days","7 Days","7 Days","7 дней","7 jours","7 Dagen","7 Tage","7 días","7 giorni"
"setup_15days","15 Days","15 Days","15 Days","15 дней","15 jours","15 Dagen","15 Tage","15 días","15 giorni"
"setup_1month","1 Month","1 Month","1 Month","1 месяц","1 mois","1 Maand","1 Monat","1 mes","1 mese"
"setup_overwrite","Overwrite","덮어쓰기","上書き","Перезапись","Écraser","Overschrijven","Überschreiben","Sobrescribir","Sovrascrivi"
"setup_unmount","Unmount","해제","アンマウント","Извлечь","Démonter","Ontkoppelen","Ausbauen","Desmontar","Smonta"
"setup_format","Format","포맷","フォーマット","Форматировать","Format","Format","Format","Formato","Formato"
"setup_format_clear","Format","포맷","フォーマット","Очистить","Format","Formateren","Formatieren","Formato","Formato"
"setup_storage_apply","Apply","적용","適用","Применить","Appliquer","Toepassen","Anwenden","Aplicar","Applica"
"setup_storage_cancel","Cancel","취소","キャンセル","Отмена","Annuler","Annuleren","Abbrechen","Cancelar","Annulla"
"setup_capability_support","SUPPORTED","지원","対応","Поддерживается","Supporté","ONDERSTEUND","UNTERSTÜTZUNG","SOPORTADO","SOSTEGNO"
"setup_capability_not_supported","NOT SUPPORTED","미지원","非対応","Не поддерживается","Non Supporté","NIET ONDERSTEUND","NICHT UNTERSTÜTZT","NO SOPORTADO","NON SUPPORTATO"
"setup_system_info","System Information","시스템 정보","システム情報","Информация","Informations système","Systeem Informatie","Systeminformation","Información del sistema","Informazioni di sistema"
"setup_system_diagnostics","System Diagnostics","시스템 진단","システム診断","СИСТЕМНАЯ ДИАГНОСТИКА","Diagnostique du systeme","Systeem Diagnose","Diagnose","Diagnóstico del sistema","Diagnostica di sistema"
"setup_system_configuration","CONFIGURATION BACKUP","설정 백업","設定のバックアップ","Резервное копирование конфигурации","SAUVEGARDE DE LA CONFIGURATION","CONFIGURATIE BACKUP","KONFIGURATIONS-BACKUP","Backup de la configuración","BACKUP DELLA CONFIGURAZIONE"
"setup_system_open_source","System Open Source License","시스템 오픈소스 라이센스","システムのオープンソースライセンス","Сертификаты лицензирования сервисов с открытым исходным кодом.","Licence Open Source système","System Open Source Licentie","System Open Source Lizenz","Licencia Sistema Open Source","Licenza Open Source di sistema"
"setup_system_name","Device Name","장치 이름","デバイス名","Имя устройства","Nom de l'appareil","Apparaat Naam","Gerätename","Nombre del dispositivo","Nome del dispositivo"
"setup_system_location","Location","위치정보","ロケーション","Местоположение","Emplacement","Locatie","Ort","Ubicación","Posizione"
"setup_system_chipset","Model Name","모델 이름","型式名","Модель","Nom du modèle","Model Naam","Model Name","Nombre del modelo","Nome del modello"
"setup_system_serialnum","Serial Number","제조번호","Serial Number","Серийный номер","Numéro de série","Serienummer","Seriennummer","Número de serie","Numero di serie"
"setup_system_cameramodule","Manufacturer","제조사","メーカー","Производитель","Fabricant","Fabrikant","Hersteller","Fabricante","Produttore"
"setup_system_maxresolution","Max Resolution","최대 해상도","最大解像度","Максимальное разрешение","Résolution max","Max. Resolutie","Max. Auflösung","Resolución máxima","Risoluzione massima"
"setup_system_maxframerate","Max Framerate","최대 프레임","最大フレームレート","Максимальное количество к/с","Framerate maximum","Max. Framerate","Max. Bildrate","Frecuencia de imagen máxima","Frame rate massimo"
"setup_system_cds","Photo Resistor(CDS)","조도센서(CDS)","フォトレジスタ (CDS)","Фоторезистор (CDS)","Résistance photo (CDS)","Fotogevoelige weerstand (LDR)","CDS","Fotoresistencia (CDS)","Fotoresistenza (CDS)"
"setup_system_alarmin","Alarm In","알람입력","アラーム入力","Тревожный вход","Entrée d'alarme","Alarm In","Alarmeingang","Entrada de alarma","Ingresso allarme"
"setup_system_relayout","Relay out","릴레이 출력","リレー出力","Тревожный выход","Sortie relais","Relais uit","Relaisausgang","Salida de relé","Uscita relè"
"setup_system_audio","Audio","오디오","音声","Аудиоканал","l'audio","Audio","Audio","Audio","Audio"
"setup_system_opticalzoom","Optical Zoom","광학줌렌즈","光学ズーム","Оптическое увеличение","Zoom optique","Optische Zoom","Optischer zoom","Zoom óptico","Zoom ottico"
"setup_system_digitalzoom","Digital Zoom","디지털줌렌즈","デジタルズーム","Цифровое увеличение","Zoom numérique","Digitale Zoom","Digitaler Zoom","Zoom digital","Zoom digitale"
"setup_system_ptz","PTZ","팬틸트줌","PTZ","Управление PTZ","PTZ","PTZ","PTZ","PTZ","PTZ"
"setup_system_slave_version","Slave Version","슬레이브 버전","Slave Version","Slave Version","Version esclave","Slave Versie","Slaveversion","Versión esclavo","Versione Secondaria"
"setup_system_maxpreset","Max Preset","최대프리셋","最大プリセット","Максимальное количество предустановок","Max Preset","Max Voorkeuze","Max Preset","Max preestablecido","Preset massimo"
"setup_system_maxscan","Max Scan","최대스캔","最大スキャン","Максимальное количество туров","Max Scan","Max Scan","Max Scan","Max Scaneo","Scansione massima"
"setup_system_maxgroup","Max Group","최대그룹","最大グループ","Максимальное количество групп","Groupe Max","Max Groep","Max Gruppe","Grupo Max","Gruppo massimo"
"setup_system_ir","Infrared sensor (IR)","적외선 센서(IR)","赤外線センサー (IR)","Датчик ИК-подсветки","Capteur infrarouge (IR)","Infrarood sensor (IR)","Infrarot","Sensor de infrarrojos (IR)","Sensore a infrarossi (IR)"
"setup_system_pir","Passive infrared sensor(PIR)","수동 적외선센서(PIR)","パッシブ赤外線センサー (PIR)","Пассивный ИК-датчик (PIR)","Capteur infrarouge passif (PIR)","Passive Infrarood sensor(PIR)","Passiver Infrarot","Sensor de infrarrojo pasivo (PIR)","Sensore a infrarossi passivo (PIR)"
"setup_system_whiteled","White LED","흰색 LED","白色 LED","Белый диод","LED blanche","Witlicht LED","Weißlicht","LED blanco","LED bianco"
"rs485_settings","RS485 SETTINGS","RS485 설정","RS485 SETTINGS","Настройки RS485","RÉGLAGES RS485","RS485 Instellingen","RS485 Einstellung","AJUSTES RS485","IMPOSTAZIONI RS485"
"rs485_protocol","Protocol","프로토콜","Protocol","Протокол","Protocole","Protocol","Protokoll","Protocolo","Protocollo"
"rs485_address","Address","주소","Address","Адрес","Adresse","Adres","Adresse","Dirección","Indirizzo"
"rs485_baudrate","BaudRate","보레이트","BaudRate","Бит в секунду","BaudRate","Baudrate","Baudrate","Baudios","BaudRate"
"rs485_databit","DataBit","데이터 비트","DataBit","Биты данных","DataBit","Dat bit","Databit","Bits por carácter","DataBit"
"rs485_stopbit","Stopbit","스톱 비트","Stopbit","Стоповые биты","Stopbit","Stop bit","Stopbit","Bits de parada","Stopbit"
"rs485_parity","Parity","페러티 비트","Parity","Четность","Parité","Pariteit","Parität","Paridad","Parità"
"setup_system_update_config","FIRMWARE UPDATE","펌웨어 업그레이드","ファームウェア更新","Обновление прошивки","MISE À JOUR DU FIRMWARE","FIRMWARE UPDATE","FIRMWARE-AKTUALISIERUNG","ACTUALIZACIÓN DE FIRMWARE","AGGIORNAMENTO DEL FIRMWARE"
"setup_system_version_infomation","Version Information","버전 정보","バージョン情報","Информация о системе","Information sur la version","Versie Informatie","Versionsinformation","Información de versión","Informazioni sulla versione"
"setup_system_system","System","시스템","システム","Версия системы","Système","Systeem","System","Sistema","Sistema"
"setup_camera","Camera","카메라","カメラ","Версия модуля камеры","Caméra","Camera","Kamera","Cámara","Telecamera"
"setup_system_webupdate","Web update","웹 업그레이드","ウェブ更新","Обновление","Mise à jour Web","Web update","Web-Aktualisierung","Web de actualización","Aggiornamento web"
"setup_system_firmwarefile","Firmware File","펌웨어 파일","ファームウェアファイル","Файл прошивки","Fichier du micrologiciel","Firmware Bestand","Firmware-Datei","Archivo de firmware","File firmware"
"setup_system_selectfile","Select File","파일 선택","ファイル選択","Выбрать","Choisir le dossier","Selecteer Bestand","Datei auswählen","Seleccione Archivo","Seleziona il file"
"setup_system_startfwupdate","Start F/W Update","펌웨어 업그레이드 시작","ファームウェア更新を開始","Начать обновление","Démarrer la mise à jour FW","Start Firmware Update","F/W-Aktualisierung starten","Iniciar actualización F/W","Avvia aggiornamento F/W"
"setup_system_datetime_config","DATE&TIME SETTINGS","날짜/시간 설정","日付と時刻の設定","Дата и время","RÉGLAGES DATE ET HEURE","DATUM & TIJD Instellingen","DATUM&UHRZEIT-EINSTELLUNGEN","Ajustes fecha y hora","IMPOSTAZIONI DATA&ORA"
"setup_system_timezone_setup","Time Zone Setup","시간대 설정","タイムゾーン設定","Настройка часового пояса","Configuration fuseau horaire","Tijdzone Instellingen","Zeitzoneneinstellung","Configuración de zona horaria","Impostazione del fuso orario"
"setup_system_zone","Time Zone","시간대","タイムゾーン","Часовой пояс","Fuseau horaire","Tijdzone","Zeitzone","Zona horaria","Fuso orario"
"setup_system_currenttime","Current Date & Time","현재 날짜와시간","現在の日付と時刻","Текущая дата и время","Date et heure actuelles","Huidige Datum & Tijd","Aktuelles Datum und Zeit","Fecha y hora actual","Data e ora correnti"
"setup_system_newcameradatetime","New Camera Date & Time","새로운 시간 설정","新しいカメラの日付と時刻","Обновление даты и времени","Date et heure de la nouvelle caméra","Nieuwe Camera Datum & Tijd","Neues Kameradatum und Zeit","Nueva fecha y hora de cámara","Nuova data e ora della fotocamera"
"setup_system_date","Date","날짜","日付","Дата","Date","Datum","Datum","Fecha","Data"
"setup_system_time","Time","시각","時刻","Время","Temps","Tijd","Zeit","Hora","Data e Ora "
"setup_system_sync_pc","Synchronize with my computer","PC 동기화","使用しているコンピューターと同期","Синхронизация с ПК","Synchroniser avec mon ordinateur","Synchroniseer tijd met mijn PC","Mit meinem PC synchronisieren","Sincronizar con el equipo","Sincronizza con il mio computer"
"setup_system_sync_manual","Setup  manually","사용자 정의","手動でセットアップ","Ввести вручную","Configuration manuelle","Stel handmatig in","Manuell einrichten","Configurar manualmente","Configurazione manuale"
"setup_system_sync_timeserver","Synchronize with time server (NTP)","시간서버 동기화(NTP)","タイムサーバーと同期 (NTP)","Синхронизация с сервером (NTP)","Synchroniser avec le serveur de temps (NTP)","Synchroniseer met tijdserver (NTP)","Synchronisierung mit Zeitserver (NTP)","Sincronizar con el servidor de tiempo (NTP)","Sincronizza con il server dell'ora (NTP)"
"setup_system_ntp","NTP server","시간서버(NTP)","NTP サーバー","Адрес NTP-сервера","Serveur NTP","NTP server","NTP Server","Servidor NTP","Server NTP"
"setup_system_user_config","USER MANAGEMENT","사용자관리","ユーザー管理","Настройка параметров пользователей","GESTION DES UTILISATEURS","GEBRUIKER BEHEER","Benutzermanagement","GESTIÓN DE USUARIOS","GESTIONE UTENTI"
"setup_dst_timesettings","Date&Time Settings","날짜/시간 설정","日付と時刻の設定","Дата и время","Paramètres date et heure","Datum & Tijd Instellingen","Datum und Zeit Einstellung","Ajustes de fecha y hora","Impostazioni data e ora"
"setup_dst_startime","Start Time","시작 시간","開始時刻","Время начала периода","Heure de début","Start Tijd","Startzeit","Hora de inicio","Ora di inizio"
"setup_dst_endtime","End Time","종료 시간","終了時刻","Время завершения периода","Heure de fin","Eind Tijd","Endzeit","Hora de finalización","Ora di fine"
"setup_dst_clock","o'clock","시","時","час.","heure","Uur","Uhr","en punto","in punto"
"monday","Mon","월요일","月","Пн.","lun","Maa","Mon","Lun","Lun"
"tuesday","Tue","화요일","火","Вт.","Mar","Din","Die","Mar","Mar"
"wednesday","Wed","수요일","水","Ср.","mer","Woe","Mit","Mie","Mer"
"thursday","Thu","목요일","木","Чт.","jeu","Don","Don","Jue","Gio"
"friday","Fri","금요일","金","Пт.","ven","Vrij","Fre","Vie","Ven"
"Saturday","Sat","토요일","土","Сб.","Sam","Zat","Sam","Sab","Sab"
"sunday","Sun","일요일","日","Вс.","Dim","Zon","Son","Dom","Dom"
"frist","First","처음","第1週","Первый","Première","Eerste","Erster","Primero","Primo"
"second","Second","두번째","第2週","Второй","Seconde","Tweede","Zweiter","Segundo","Secondo"
"third","Third","세번째","第3週","Третий","Troisième","Derde","Dritter","Tercero","Terzo"
"fourth","Fourth","네번째","第4週","Четвертый","Quatrième","Vierde","Vierter","Cuarto","Quarto"
"last","Last","마지막","最終週","Последний","Dernier","Laatste","Letzter","Último","Scorso"
"jan","Jan","1월","1月","Янв.","Jan","Jan","Jan","ene","Gen"
"feb","Feb","2월","2月","Фев.","Fév","Feb","Feb","feb","Feb"
"mar","Mar","3월","3月","Мар.","Mar","Maa","Mär","mar","Mar"
"apr","Apr","4월","4月","Апр.","Avr","Apr","Apr","abr","Apr"
"may","May","5월","5月","Май","Mai","Mei","Mai","mayo","Mag"
"jun","Jun","6월","6月","Июн.","Juin","Jun","Jun","jun","Giu"
"jul","Jul","7월","7月","Июл.","juil","Jul","Jul","jul","Lug"
"aug","Aug","8월","8月","Авг.","Août","Aug","Aug","ago","Ago"
"sep","Sep","9월","9月","Сен.","Sept","Sep","Sep","sep","Set"
"oct","Oct","10월","10月","Окт.","Oct","Okt","Okt","oct","Ott"
"nov","Nov","11월","11月","Ноя.","Nov","Nov","Nov","nov","Nov"
"dec","Dec","12월","12月","Дек.","Déc","Dec","Dez","dic","Dic"
"rtsp_auth","RTSP Authentication","RTSP 인증","RTSP 認証","RTSP авторизация","Authentification RTSP","RTSP Authenticatie","RTSP Authentifizierung","Autenticación RTSP","Autenticazione RTSP"
"setup_system_id","ID","ID","ID","Логин","Identifiant","ID","ID","ID","ID"
"setup_system_authority","Authority","권한","権限","Авторизация","Autorisation","Rechten","Behörde","Autoridad","Autorità"
"setup_system_passwd","Password","암호","パスワード","Пароль","Mot de passe","Wachtwoord","Passwort","Contraseña","Password"
"setup_system_verify","Retype Password","확인","認証","Подтверждение","Retaper le mot de passe","Herhaal Wachtwoord","Passwort erneut eingeben","Vuelva a escribir la contraseña","Ripeti password"
"setup_system_pass_hint","Password Hint","비밀번호 힌트","パスワードのヒント","Подсказка пароля","Question secrète de mot de passe","Wachtwoord Hint","Passwort-Hinweis","Pista de la contraseña","Suggerimento password"
"setup_system_userauthority","UserAuthority","사용자인증","ユーザー権限","Группа пользователя","Autorisation utilisateur","Gebruikersrechten","Benutzungsberechtigung","Autoridad de usuario","Autorità utente"
"Viewer","Viewer","관찰자","ビューワー","Диспетчер","Invité","Bekijken","Betrachter","Visor","Spettatore"
"Operator","Operator","운영자","オペレーター","Оператор","Opérateur","Bekijken & Bedienen","Betreiber","Operador","Operatore"
"Admnistrator","Administrator","관리자","管理者","Администратор","Administrateur","Administrator","Administrator","Administrador","Amministratore"
"system_log","SYSTEM LOG","시스템 로그","システムログ","Журнал","JOURNAL DU SYSTÈME","SYSTEEM LOG","SYSTEMPROTOKOLL","REGISTRO DEL SISTEMA","REGISTRO DI SISTEMA"
"system_log_filter","Filter","필터","フィルター","Фильтр","Filtre","Filter","Filter","Filtrar","Filtro"
"system_log_list","List","목록","リスト","Список событий","liste","Lijst","Liste","Lista","Elenco"
"log_type_all","All","모든타입","全て","Все","Tout","Alles","Alle","Todas","Tutto"
"log_type_events","Events","이벤트","イベント","События","Événements","Gebeurtenissen","Ereignisse","Eventos","Eventi"
"log_type_exceptions","Exceptions","예외동작","例外","Ошибки","Exceptions","Uitzonderingen","Ausnahme","Excepciones","Eccezioni"
"log_type_operations","Operations","사용자구동","操作","Операции с устройством","Opérations","Processen","Betrieb","Operaciones","Operazioni"
"log_type_informations","Informations","정보","情報","Информационные сообщения","Informations","Informatie","Informationen","Informaciones","Informazioni"
"system_log_code","Log","로그","ログ","Запись","Historique","Log","Protokoll","Registro","Log"
"system_log_num","Num","번호","番号","Номер","Num","Num.","Num","Num","Num"
"system_log_object","IP","주소","IP","IP","IP","IP","IP","IP","IP"
"LOG_SET_DEVICE_INFORMATION","Change device information","장치정보 변경","デバイス情報を変更","Изменение информации об устройстве","Modifier les informations sur l'appareil","Apparaat informatie wijzigen","Geräteinformationen ändern","Cambiar información del dispositivo","Modifica le informazioni sul dispositivo"
"LOG_SET_USERS","Set users","사용자정보 변경","ユーザーを設定","Настройка пользователей","Définir les utilisateurs","Gebruikers instellen","Benutzer festlegen","Configurar usuarios","Imposta utenti"
"LOG_ADD_USER","Add user","사용자 추가","ユーザーを追加","Добавление пользователя","Ajouter un utilisateur","Gebruiker toevoegen","Benutzer hinzufügen","Agregar usuario","Aggiungi utente"
"LOG_DEL_USER","Delete user","사용자 삭제","ユーザーを削除","Удаление пользователя","Supprimer l'utilisateur","Gebruiker wissen","Benutzer löschen","Borrar usuario","Elimina utente"
"LOG_SET_USER","Modify user","사용자 수정","ユーザーを変更","Изменение пользователя","Modifier l'utilisateur","Gebruiker aanpassen","Benutzer bearbeiten","Modificar usuario","Modifica utente"
"LOG_SET_DATETIME","Change datetime setting","시간설정 수정","日付と時刻の設定を変更","Изменение настроек даты/времени","Modifier le paramètre date heure","Wijzig datum & Tijd Instellingen","Datum/Uhrzeit ändern","Cambiar ajuste de fecha y hora","Modifica impostazione data/ora"
"LOG_SET_IO_CONFIGURATION","Change I/O config","입/출력장치 설정 수정","I/O 設定を変更","Изменение настроек тр. Вх./вых.","Modifier la configuration des E / S","Wijzig I/O configuratie","E/A-Konfiguration ändern","Cambio configuración de E / S","Modifica configurazione I/O"
"LOG_SET_RELAY_OUTPUT_STATE","Change relay output state","릴레이 출력 상태 변경","リレー出力状態を変更","Изменение состояния релейного выхода","Changer l'état de sortie du relais","Wijzig realis uitgang status","Relaisausgangszustand ändern","Cambiar estado del relé de salida","Modificare lo stato dell'uscita relè"
"LOG_SET_OSD","Setup OSD","OSD 설정 변경","OSD をセットアップ","Настройка OSD","Configurer l'OSD","OSD Instellingen","OSD einrichten","Configuración OSD","OSD di configurazione"
"LOG_SET_SYSTEM_FACTORY_DEFAULT","Factory default","시스템 공장 초기화","工場出荷時の設定","Сброс настроек на заводские","RAZ usine","Fabrieksinstellingen","Werkseinstellung","Predeterminado de fábrica","Impostazioni di fabbrica"
"LOG_SYSTEM_UPGRADE","Firmware upgrade","펌웨어 업그레이드","ファームウェアアップグレード","Обновление прошивки","Mise à jour du firmware","Firmware upgrade","Firmware-Aktualisierung","Actualización de firmware","Aggiornamento del firmware"
"LOG_SYSTEM_REBOOT","System reboot","시스템 재부팅","システム再起動","Перезапуск системы","Redémarrage du système","Systeem herstart","System-Neustart","Reinicio del sistema","Riavvio del sistema"
"LOG_SET_NETWORK_CONFIGURATION","Change network config","네트워크 설정 변경","ネットワーク設定を変更","Изменение сетевых параметров","Modifier la configuration du réseau","Wijzig netwerk configuratie","Netzwerkkonfiguration ändern","Cambio de configuración de red","Modifica configurazione di rete"
"LOG_SET_EVENT_CONFIGURATION","Setup event config","이벤트설정 변경","イベント設定をセットアップ","Настройка параметров событий","Configuration de la configuration des événements","Wijzig Gebeurtenis configuratie","Ereigniskonfiguration einrichten","Configuración de evento de configuración","Configurazione dell'evento di installazione"
"LOG_SET_CHANNEL_CONFIGURATION","Change video encoder config","비디오 압축설정 변경","ビデオエンコーダー設定を変更","Изменение настройки видео","Changer la configuration vidéo","Wijzig Kanaal instellingen","Konfiguration des Video-Encoders ändern","Cambio de configuración de codificador de vídeo","Modifica la configurazione del codificatore video"
"LOG_SET_VIDEO_ENCODE_CONFIGURATION","Change video encoder config","비디오 압축설정 변경","ビデオエンコーダー設定を変更","Изменение настроек видео-кодека","Changer la configuration vidéo","Wijzig Codec instellingen","Konfiguration des Video-Encoders ändern","Cambio de configuración de codificador de vídeo","Modifica la configurazione del codificatore video"
"LOG_SET_PROFILES","Setup profiles","프로파일 변경","プロファイルをセットアップ","Настройка профилей","Profils de configuration","Profiel Instellingen","Profile einrichten","Perfiles de configuración","Profili di configurazione"
"LOG_SET_PROFILE_CONFIGURATION","Setup profile config","프로파일설정 변경","プロファイル設定をセットアップ","Настройка параметров профиля","Configuration du profil","Profiel wijzigen","Profilkonfiguration einrichten","Configuración perfil","Configurazione del profilo di installazione"
"LOG_ADD_PROFILE","Add profile","프로파일 추가","プロファイルを追加","Добавление профиля","Ajouter un profil","Profiel toevoegen","Profil hinzufügen","Añadir perfil","Aggiungi profilo"
"LOG_DEL_PROFILE","Delete profile","프로파일 삭제","プロファイルを削除","Удаление профиля","Supprimer un profil","Profiel wissen","Profil löschen","Borrar perfil","Elimina profilo"
"LOG_SET_PROFILE","Set profile","프로파일 변경","プロファイルを設定","Изменение профиля","Définir le profil","Profiel instellen","Profil einstellen","Establecer perfil","Imposta profilo"
"LOG_START_MULTICAST_STREAMING","Start multicast streaming","멀티캐스트 스트리밍 시작","マルチキャストストリーミングを開始","Начало multicast-стриминга","Lancer le streaming multicast","Start Multi cast streaming","Multicast-Streaming starten","Iniciar transmisión multicast","Avvia lo streaming multicast"
"LOG_STOP_MULTICAST_STREAMING","Stop multicast streaming","멀티캐스트 스트리밍 종료","マルチキャストストリーミングを停止","Завершение multicast-стриминга","Arrêter le streaming multicast","Stop Multi cast streaming","Multicast-Streaming beenden","Detener transmisión multicast","Interrompi streaming multicast"
"LOG_SET_CAMERA_SETUP","Change camera setup","카메라 설정 변경","カメラセットアップを変更","Изменение параметров камеры","Changer la configuration de la caméra","Camera Instellingen wijzigen","Kameraeinstellung ändern","Cambiar configuración de la cámara","Modifica la configurazione della telecamera"
"LOG_SET_NTP_SYNC","Setup NTP setting","NTP 설정 변경","NTP 設定をセットアップ","Настройка параметров NTP","Configuration du paramètre NTP","Instellen NTP","NTP-Einstellung einrichten","Ajuste de configuración NTP","Configura impostazioni NTP"
"LOG_SET_CAMERA_DEAFULT","Default camera setup","카메라 설정 초기화","デフォルトのカメラセットアップ","Сброс настроек камеры по умолчанию","Configuration de la caméra par défaut","Standaard camera Instellingen","Standard-Kameraeinstellung","Configuración de la cámara por defecto","Configurazione predefinita della telecamera"
"LOG_SET_SETUP_INI","Change product values","생산용 설정 변경","製品の値を変更","Изменение значения продукта","Modifier les valeurs des produits","Product waardes wijzigen","Produktwerte ändern","Cambiar valores de producto","Modifica i valori del prodotto"
"LOG_SET_CAMERA_RESTORE","Restore camera setup","카메라 설정 복원","カメラのセットアップを復元","Восстановление настроек устройства","Restaurer la configuration de la caméra","Camera instellingen herstellen","Kameraeinstellungen wiederherstellen","Restaurar la configuración de la cámara","Ripristina la configurazione della telecamera"
"LOG_ADD_RECORDING_JOB","Add recording job","저장작업 추가","録画ジョブを追加","Добавление сценария записи","Ajouter travail enregistrement","Opname taak toevoegen","Aufnahmeauftrag hinzufügen","Añadir tarea de grabación","Aggiungi compito di registrazione"
"LOG_SET_RECORDING_JOB","Set recording job","저장작업 설정 변경","録画ジョブを設定","Настройка сценария записи","Définir travail enregistrement","Opname taak instellen","Aufnahmeauftrag einstellen","Empezar a grabar","Imposta compito di registrazione"
"LOG_DEL_RECORDING_JOB","Delete recording job","저장작업 삭제","録画ジョブを削除","Удаление сценария записи","Supprimer travail enregistrement","Opname taak wissen","Aufnahmeauftrag löschen","Borrar grabación","Elimina compito di registrazione"
"LOG_ADD_EVENT_CONF","Add event config","이벤트 추가","イベント設定を追加","Добавление события","Ajouter configuration événement","Gebeurtenis configuratie toevoegen","Ereigniskonfiguration hinzufügen","Añaidir configuración de eventos","Aggiungi configurazione evento"
"LOG_SET_EVENT_CONF","Set event config","이벤트 변경","イベント設定を設定","Настройка события","Définir configuration événement","Gebeurtenis configuratie instellen","Ereigniskonfiguration einstellen","Configurar eventos","Imposta la configurazione dell'evento"
"LOG_DEL_EVENT_CONF","Delete event config","이벤트 삭제","イベント設定を削除","Удаление события","Supprimer configuration événement","Gebeurtenis configuratie wissen","Ereigniskonfiguration löschen","Borrar configuración de eventos","Elimina configurazione evento"
"LOG_ADD_ACTION_RULE","Add action rule","이벤트 트리거 추가","動作ルールを追加","Добавление реакции на событие","Ajouter une règle d'action","Actieregel toevoegen","Aktionsregel hinzufügen","Agregar regla de acción","Aggiungi regola di azione"
"LOG_SET_ACTION_RULE","Set action rule","이벤트 트리거 변경","動作ルールを設定","Настройка реакции на событие","Définir une règle d'action","Actieregel wissen","Aktionsregel festlegen","Establecer regla de acción","Imposta regola d'azione"
"LOG_DEL_ACTION_RULE","Delete action rule","이벤트 트리거 삭제","動作ルールを削除","Удаление реакции на событие","Supprimer la règle d'action","Actieregel instellen","Aktionsregel löschen","Borrar regla de acción","Elimina regola di azione"
"LOG_SET_FORMAT_SDCARD","Format SD card","SD 카드 포맷","SD カードをフォーマット","Форматирование SD-карты","Formater la carte SD","SD kaart formateren","SD Karte Formatieren","Formatear tarjeta SD","Formatta la scheda SD"
"LOG_SET_UNMOUNT_SDCARD","Unmount SD card","SD 카드 언마운트함","SD カードをアンマウント","SD карта отмонтирована","Démonter la carte SD","SD kaart ontkoppelen","SD-Karte ausbauen","Desmontar la tarjeta SD","Smontare la scheda SD"
